scene,fov,our,nerf,fovea
3.00,70.00,0.36,0.25,0.40
3.00,75.00,0.35,0.25,0.40
3.00,80.00,0.35,0.25,0.40
3.00,85.00,0.35,0.25,0.41
3.00,90.00,0.35,0.26,0.41
3.00,95.00,0.35,0.26,0.41
3.00,100.00,0.35,0.26,0.41
3.00,105.00,0.34,0.26,0.41
3.00,5.00,0.21,0.50,0.01
3.00,10.00,0.19,0.43,0.13
3.00,15.00,0.26,0.40,0.23
3.00,20.00,0.29,0.39,0.31
3.00,25.00,0.33,0.39,0.38
3.00,30.00,0.40,0.40,0.42
3.00,35.00,0.43,0.39,0.44
3.00,40.00,0.45,0.38,0.48
3.00,45.00,0.47,0.37,0.49
3.00,50.00,0.47,0.36,0.50
3.00,55.00,0.48,0.36,0.52
3.00,60.00,0.48,0.36,0.53
3.00,65.00,0.49,0.36,0.54
3.00,70.00,0.49,0.37,0.55
3.00,75.00,0.48,0.37,0.55
3.00,80.00,0.48,0.37,0.55
3.00,85.00,0.48,0.37,0.55
3.00,90.00,0.47,0.38,0.54
3.00,95.00,0.47,0.38,0.54
3.00,100.00,0.48,0.39,0.55
3.00,105.00,0.47,0.39,0.55
3.00,5.00,0.20,0.48,0.00
3.00,10.00,0.20,0.47,0.08
3.00,15.00,0.24,0.46,0.18
3.00,20.00,0.30,0.44,0.25
3.00,25.00,0.35,0.44,0.35
3.00,30.00,0.40,0.42,0.40
3.00,35.00,0.42,0.40,0.42
3.00,40.00,0.42,0.37,0.42
3.00,45.00,0.42,0.35,0.42
3.00,50.00,0.41,0.34,0.42
3.00,55.00,0.41,0.33,0.43
3.00,60.00,0.40,0.32,0.42
3.00,65.00,0.40,0.31,0.43
3.00,70.00,0.39,0.30,0.43
3.00,75.00,0.38,0.30,0.43
3.00,80.00,0.37,0.29,0.42
3.00,85.00,0.37,0.29,0.42
3.00,90.00,0.36,0.29,0.42
3.00,95.00,0.36,0.29,0.42
3.00,100.00,0.36,0.29,0.43
3.00,105.00,0.36,0.29,0.43
3.00,5.00,0.09,0.39,0.01
3.00,10.00,0.13,0.40,0.11
3.00,15.00,0.23,0.42,0.19
3.00,20.00,0.29,0.43,0.31
3.00,25.00,0.34,0.43,0.36
3.00,30.00,0.39,0.41,0.40
3.00,35.00,0.43,0.40,0.43
3.00,40.00,0.44,0.38,0.45
3.00,45.00,0.44,0.36,0.46
3.00,50.00,0.45,0.35,0.48
3.00,55.00,0.45,0.34,0.49
3.00,60.00,0.46,0.34,0.52
3.00,65.00,0.47,0.34,0.53
3.00,70.00,0.47,0.35,0.53
3.00,75.00,0.47,0.35,0.54
3.00,80.00,0.46,0.35,0.53
3.00,85.00,0.46,0.35,0.54
3.00,90.00,0.46,0.36,0.53
3.00,95.00,0.46,0.37,0.54
3.00,100.00,0.47,0.38,0.54
3.00,105.00,0.46,0.37,0.53
3.00,5.00,0.23,0.51,0.00
3.00,10.00,0.21,0.53,0.10
3.00,15.00,0.26,0.52,0.16
3.00,20.00,0.33,0.49,0.21
3.00,25.00,0.35,0.44,0.29
3.00,30.00,0.40,0.43,0.35
3.00,35.00,0.43,0.40,0.39
3.00,40.00,0.42,0.37,0.40
3.00,45.00,0.42,0.34,0.41
3.00,50.00,0.42,0.33,0.42
3.00,55.00,0.41,0.31,0.43
3.00,60.00,0.40,0.30,0.42
3.00,65.00,0.38,0.28,0.41
3.00,70.00,0.37,0.26,0.40
3.00,75.00,0.36,0.25,0.40
3.00,80.00,0.35,0.25,0.40
3.00,85.00,0.35,0.25,0.40
3.00,90.00,0.34,0.25,0.40
3.00,95.00,0.35,0.26,0.41
3.00,100.00,0.35,0.26,0.41
3.00,105.00,0.34,0.26,0.41
